name,contract_address,proxy_address,deviation_threshold,heartbeat,decimals,asset_class,product_name,ens,path,base_asset,quote_asset
GHO / USD,0x8742DB1bC8cA3E9ce4D8fF1bA131c32aD24589A3,0x076DE3812BDbdAe1330064fc01Adf7f4EAa123f3,0.25,86400,8,medium,,gho-usd,gho-usd,,
solvBTC / BTC,0x889a423bde673d05430c4CDa9f89A29805f57d2D,0x5ff6c083B7B2BD0D61beB7173B3757e1a1e6E1C6,1,86400,8,high,,solvbtc-btc,solvbtc-btc,,
SUSDE-USDE-Exchange-Rate,0x89c9FbcA60653Da14906035aF39C670F40453EB7,0xb7441BBD0298aaeF4f2BbD40E8025Cf59cA6E8D5,0.05,86400,18,custom,,susdeusdeexchangerate,susde-usde-exchange-rate,,
GMX / USD,0x8C8Da958396815469f289768b980DBCAcfE9F279,0x3F968A21647d7ca81Fb8A5b69c0A452701d5DCe8,0.1,86400,8,medium,,gmx-usd,gmx-usd,,
ARB / USD,0x8aa724c07Cfaf4A16f754526b00F4df91F1d715b,0xd99bcAdbE216D82f4B77eC54a99ea1b6bA96549b,0.5,86400,8,low,,arb-usd,arb-usd,,
Ion Digital Total Reserve,0x91E5f42a17e0C86746B74e898F640A5d162b5978,0x121C188f76831f504bD29C753074B37a4177cEc3,1,86400,18,custom,,ion-digital-total-reserve,ion-digital-total-reserve,,
DAI / USD,0x94BdDfA622FcEB1b44e50608cb02f1a583784224,0x51D7180edA2260cc4F6e4EebB82FEF5c3c2B8300,0.1,86400,8,low,,dai-usd,dai-usd,,
LINK / USD,0x9FC8683EFf42913f0F1F32EEc2f21340017FCDdB,0x49ccd9ca821EfEab2b98c60dC60F518E765EDe9a,0.5,86400,8,low,,link-usd,link-usd,,
ETH / USD,0x9ff520924dC295074F43a8a01Ee30a4D39a4223b,0x976B3D034E162d8bD72D6b9C989d545b839003b0,0.1,86400,8,low,,eth-usd,eth-usd,,
MATICX / USD Calculated,0xA6D08e6F2b20707D79801Ff419091265DDDCBb58,0xc43861646Cdc051D04CA0c9dF2265FFcFa0dF6f3,0.5,3600,18,Crypto,,maticx-usd-calculated,maticx-usd-calculated,,
syrupUSDC-USDC Exchange Rate,0xB0A8471d9A217bd553B2485697Ab9CAb05df852f,0xC63eD21bb4577Ff5a762591c73D4b0BCCfAD7AEb,0.05,86400,18,custom,,syrupusdcusdc-exchange-rate,syrupusdc-usdc-exchange-rate,,
PCE Price Index — Level,0xB0BE176247438D0142785421Fb558E035cC30e63,0x962Aba596fe6842D644c51b2F112190e6B6e94B4,1e-7,3024000,3,custom,,pce-price-index-level,pce-price-index-level,,
DOT / USD,0xC3e5dDD4f98cDFfaF77685e340FF5c32d7282C5C,0xD73a74314AcCb53b30cAfDA0cb61c9772B57C4a2,0.5,86400,8,low,,dot-usd,dot-usd,,
AAVE.e Proof of Reserves,0xC5463267394709421b0FF3726dd21e152Ec0B1D9,0x14C4c668E34c09E1FBA823aD5DB47F60aeBDD4F7,1e-7,86400,18,custom,,aavee-por,aave.e-por,,
UNI / USD,0xC54d8293A7f98ef887BE882311E4C274BE67f927,0x9a1372f9b1B71B3A5a72E092AE67E172dBd7Daaa,0.15,86400,8,low,,uni-usd,uni-usd,,
Ion Digital Total Reserve,0xC664E24102e0a9d3b64D08fCBFE11dD7A378809d,0x0AB119EB3f6820BA43c345e9aAbF1e3dE3C09Ce4,1,86400,8,custom,,ion-digital-por,ion-digital-por,,
MIMATIC / USD,0xCdE5431BCa66081d509d15c9bD036208Ee118081,0x5D1F504211c17365CA66353442a74D4435A8b778,1,86400,8,Crypto,,mimatic-usd,mimatic-usd,,
WETH.e Proof of Reserves,0xD38Acd83073EeF07186D5Db701C576aD42D6cf27,0xDDaf9290D057BfA12d7576e6dADC109421F31948,1e-7,86400,18,custom,,wethe-por,weth.e-por,,
NEAR / USD,0xD74bBE6Db11AD5F3D4F7d4Ee23D9C9d5c301D4e0,0x7FDE7f51dc2580dd051e17A333E28CDC8176da0A,0.5,86400,8,low,,near-usd,near-usd,,
XAG / USD,0xDEaC6b0CA04377F0051CB8C7A83c5e6F6525106d,0xA771e0D1e9E1eCc07C56CC38240779E54337d682,0.3,86400,8,low,,xag-usd,xag-usd,,
wstPOL-POL Exchange Rate,0xE28BdCd47F806E8A1f87D2e8b14F39399647AA40,0xFbAc2cBC1c0083D4edC9ce47F72F3B0D9bc67F9C,0.5,86400,18,custom,,wstpolpol-exchange-rate,wstpol-pol-exchange-rate,,
JPY / USD,0xE91B9f158A6e89a43223e064331532e981Cf2DcA,0xf8B283aD4d969ECFD70005714DD5910160565b94,0.3,86400,8,low,,jpy-usd,jpy-usd,,
COMP / USD,0xEBfd3f7FE2d4C1B017b41f5edAFaDF8AdCA4C034,0x9D6AA0AC8c4818433bEA7a74F49C73B57BcEC4Ec,0.5,86400,8,low,,comp-usd,comp-usd,,
xSolvBTC NAV,0xF4D6Ed96A78EB7e78B77D47cfD288C2468024D3B,0x55b5dc7d7CDD5d3b2Eb189bf11140839076E5d40,1e-7,86400,18,custom,,xsolvbtc-nav,xsolvbtc-nav,,
TUSD / USD,0xFE7019D5BCD395C56FB1cF43be548B1F056288FB,0x9Cf3Ef104A973b351B2c032AA6793c3A6F76b448,0.5,86400,8,medium,,tusd-usd,tusd-usd,,
YBTC.B / BTC,0xFd436ad484d29bd75D0917777a8d7b183255212b,0x7f7A07FFDe2ab490dad0C0D139d6c730bbe842cC,0.5,86400,8,new,,ybtcb-btc,ybtc.b-btc,,
BNB / USD,0xFfAc06e5D08455474192a4dA40dFEdd2090FdaA3,0xBb92195Ec95DE626346eeC8282D53e261dF95241,0.5,86400,8,low,,bnb-usd,bnb-usd,,
SUSDE / USD,0xa89e19ab2B8d10F638b2e2F5a1eEa7A92704F836,0x14488868FC8B1fFB381d6F49907EE75B3f0C2a0F,0.5,86400,8,low,,susde-usd,susde-usd,,
BTC / USD,0xa9Afa74dDAC812B86Eeaa60A035c6592470F4A48,0x2779D32d5166BAaa2B2b658333bA7e6Ec0C65743,0.1,86400,8,low,,btc-usd,btc-usd,,
Calculated SAVAX / USD,0xaF6d571225583C9da8ced6f33CD1766bD2ab6c4b,0x2854Ca10a54800e15A2a25cFa52567166434Ff0a,0.1,120,18,custom,,calculated-savax-usd,calculated-savax-usd,,
MANA / USD,0xbAa30e66208a21E7481e402cb178513A2D0FFdF8,0x774f067083f23cAB866310489419C884a6Dc00a8,0.5,86400,8,medium,,mana-usd,mana-usd,,
AAVE / USD,0xc03C33937F4Ae48f72a9563abfDde76D46B8548F,0x3CA13391E9fb38a75330fb28f8cc2eB3D9ceceED,0.5,86400,8,low,,aave-usd,aave-usd,,
YFI / USD,0xcBA6A35775174A4929eD40b3a2D626b492778D02,0x28043B1Ebd41860B93EC1F1eC19560760B6dB556,0.5,86400,8,medium,,yfi-usd,yfi-usd,,
YBTC-BTC Exchange Rate,0xcDbD698F3A2163f640A8FE326E4570272f24dA6f,0xAba063634dA21488a0C8A4415cf7651a013B12B5,0.05,86400,18,custom,,ybtcbtc-exchange-rate,ybtc-btc-exchange-rate,,
AVAX / USD,0xcfBfE648BA88Bf7D9776d970417a0B26c315feB4,0x0A77230d17318075983913bC2145DB16C7366156,0.1,120,8,low,,avax-usd,avax-usd,,
EURC / USD,0xd2eB0f960e2Af673C4162c82ffBf7e967534C1D9,0x3368310bC4AeE5D96486A73bae8E6b49FcDE62D3,0.3,86400,8,low,,eurc-usd,eurc-usd,,
USDT.e Proof of Reserves,0xd4452d1811AA9AC14B9c55444a1B55CDB97760eC,0x94D8c2548018C27F1aa078A23C4158206bE1CC72,1e-7,86400,6,custom,,usdte-por,usdt_e-por,,
USDT / USD,0xd761cFc03e833FEBB04297Cc1aB7291D80c9595f,0xEBE676ee90Fe1112671f19b6B7459bC678B67e8a,0.1,86400,8,low,,usdt-usd,usdt-usd,,
CRV / USD,0xdae179d0782cE28d6fD0cedd965C69B54B794aB8,0x7CF8A6090A9053B01F3DF4D4e6CfEdd8c90d9027,0.5,86400,8,low,,crv-usd,crv-usd,,
savBTC-avBTC Exchange Rate,0xe1dA6fa0c5739F89fEd4666CE4A3b9B5652a1F68,0x80091AEc326bE58223620D827fd5189FaC8b43C0,0.05,86400,18,custom,,savbtcavbtc-exchange-rate,savbtc-avbtc-exchange-rate,,
EmCH Reserves,0xe3fA7342C4096E02aB376f64b6C5251bf6f3c657,0x0d2807dc7FA52d3B38be564B64a2b37753C49AdD,1e-7,86400,8,custom,,emch-reserves,emch-reserves,,
PCE Price Index — Percent Change (Annual Rate),0xeF64D0B43E579559771695758178f6AfA0045102,0x9A9587Da4Fd5DD3C9AD47C12aFeec5073C8cFc2a,1e-7,3024000,1,custom,,pce-price-index-percent-change-annual-rate,pce-price-index-percentage,,
USDC.e Proof of Reserves,0xf52BF03f3f406BAAADE542b3D2D5CeCfFf1754E6,0x63769951E4cfDbDC653dD9BBde63D2Ce0746e5F2,1e-7,86400,6,custom,,usdce-por,usdc_e-por,,
CHZ / USD,0xfb317b2a4404802dF62c87a5982EE383F2711ce6,0xC4D7270aCc921DE5A17452437257f075C1298eB3,0.5,86400,8,medium,,chz-usd,chz-usd,,
